date,day,Home,Away,place,crowds
2023-04-01,토,키움,한화,고척,16000
2023-04-01,토,SSG,KIA,문학,23000
2023-04-01,토,KT,LG,수원,18700
2023-04-01,토,두산,롯데,잠실,23750
2023-04-01,토,삼성,NC,대구,24000
2023-04-02,일,키움,한화,고척,11562
2023-04-02,일,SSG,KIA,문학,23000
2023-04-02,일,KT,LG,수원,14700
2023-04-02,일,두산,롯데,잠실,23750
2023-04-02,일,삼성,NC,대구,18483
2023-04-04,화,삼성,한화,대구,5936
2023-04-04,화,키움,LG,고척,4510
2023-04-04,화,SSG,롯데,문학,5809
2023-04-04,화,두산,NC,잠실,3924
2023-04-05,수,키움,LG,고척,4194
2023-04-05,수,두산,NC,잠실,2172
2023-04-06,목,삼성,한화,대구,6525
2023-04-06,목,키움,LG,고척,4556
2023-04-06,목,두산,NC,잠실,3724
2023-04-07,금,롯데,KT,사직,14734
2023-04-07,금,KIA,두산,광주,12821
2023-04-07,금,한화,SSG,한밭,10415
2023-04-07,금,LG,삼성,잠실,17201
2023-04-07,금,NC,키움,창원,6867
2023-04-08,토,롯데,KT,사직,16555
2023-04-08,토,KIA,두산,광주,16432
2023-04-08,토,한화,SSG,한밭,11232
2023-04-08,토,LG,삼성,잠실,22141
2023-04-08,토,NC,키움,창원,9763
2023-04-09,일,롯데,KT,사직,12283
2023-04-09,일,KIA,두산,광주,14070
2023-04-09,일,한화,SSG,한밭,9455
2023-04-09,일,LG,삼성,잠실,20439
2023-04-09,일,NC,키움,창원,7686
2023-04-11,화,KIA,한화,광주,3623
2023-04-11,화,NC,KT,창원,2069
2023-04-11,화,롯데,LG,사직,5286
2023-04-11,화,삼성,SSG,대구,3907
2023-04-11,화,두산,키움,잠실,4372
2023-04-12,수,KIA,한화,광주,5252
2023-04-12,수,NC,KT,창원,2448
2023-04-12,수,롯데,LG,사직,6519
2023-04-12,수,삼성,SSG,대구,5405
2023-04-13,목,KIA,한화,광주,5457
2023-04-13,목,NC,KT,창원,3174
2023-04-13,목,롯데,LG,사직,6505
2023-04-13,목,삼성,SSG,대구,4648
2023-04-13,목,두산,키움,잠실,6917
2023-04-14,금,KT,한화,수원,7145
2023-04-14,금,키움,KIA,고척,8043
2023-04-14,금,삼성,롯데,대구,9124
2023-04-14,금,SSG,NC,문학,8218
2023-04-14,금,LG,두산,잠실,16528
2023-04-15,토,KT,한화,수원,13212
2023-04-15,토,키움,KIA,고척,13752
2023-04-15,토,삼성,롯데,대구,18231
2023-04-15,토,SSG,NC,문학,13956
2023-04-15,토,LG,두산,잠실,21243
2023-04-16,일,KT,한화,수원,13010
2023-04-16,일,키움,KIA,고척,11265
2023-04-16,일,삼성,롯데,대구,16076
2023-04-16,일,SSG,NC,문학,13460
2023-04-16,일,LG,두산,잠실,20090
2023-04-18,화,롯데,KIA,사직,3829
2023-04-18,화,LG,NC,잠실,6574
2023-04-18,화,한화,두산,한밭,4012
2023-04-18,화,KT,SSG,수원,3398
2023-04-18,화,키움,삼성,고척,3104
2023-04-19,수,롯데,KIA,사직,4869
2023-04-19,수,LG,NC,잠실,7090
2023-04-19,수,한화,두산,한밭,4212
2023-04-19,수,KT,SSG,수원,3405
2023-04-19,수,키움,삼성,고척,3869
2023-04-20,목,롯데,KIA,사직,6423
2023-04-20,목,LG,NC,잠실,9090
2023-04-20,목,한화,두산,한밭,4122
2023-04-20,목,KT,SSG,수원,4472
2023-04-20,목,키움,삼성,고척,3918
2023-04-21,금,두산,KT,잠실,6896
2023-04-21,금,한화,LG,한밭,6004
2023-04-21,금,NC,롯데,창원,12613
2023-04-21,금,KIA,삼성,광주,6870
2023-04-21,금,SSG,키움,문학,12374
2023-04-22,토,두산,KT,잠실,13410
2023-04-22,토,한화,LG,한밭,11152
2023-04-22,토,NC,롯데,창원,15130
2023-04-22,토,KIA,삼성,광주,12990
2023-04-22,토,SSG,키움,문학,16535
2023-04-23,일,두산,KT,잠실,10151
2023-04-23,일,한화,LG,한밭,9023
2023-04-23,일,NC,롯데,창원,13286
2023-04-23,일,KIA,삼성,광주,10026
2023-04-23,일,SSG,키움,문학,15878
2023-04-25,화,키움,KT,고척,2956
2023-04-25,화,KIA,NC,광주,2216
2023-04-25,화,LG,SSG,잠실,7344
2023-04-26,수,롯데,한화,사직,7905
2023-04-26,수,키움,KT,고척,2489
2023-04-26,수,KIA,NC,광주,4798
2023-04-26,수,삼성,두산,대구,9213
2023-04-26,수,LG,SSG,잠실,10419
2023-04-27,목,롯데,한화,사직,10393
2023-04-27,목,키움,KT,고척,3024
2023-04-27,목,KIA,NC,광주,6017
2023-04-27,목,삼성,두산,대구,8473
2023-04-27,목,LG,SSG,잠실,13061
2023-04-28,금,LG,KIA,잠실,22695
2023-04-28,금,한화,NC,한밭,7242
2023-04-28,금,SSG,두산,문학,14909
2023-04-28,금,KT,삼성,수원,7314
2023-04-28,금,롯데,키움,사직,14343
2023-04-29,토,LG,KIA,잠실,23750
2023-04-29,토,한화,NC,한밭,7813
2023-04-29,토,SSG,두산,문학,20180
2023-04-29,토,KT,삼성,수원,12039
2023-04-30,일,LG,KIA,잠실,23750
2023-04-30,일,한화,NC,한밭,10442
2023-04-30,일,SSG,두산,문학,21026
2023-04-30,일,KT,삼성,수원,14582
2023-04-30,일,롯데,키움,사직,22990
2023-05-02,화,두산,한화,잠실,9834
2023-05-02,화,SSG,KT,문학,6950
2023-05-02,화,NC,LG,창원,3939
2023-05-02,화,KIA,롯데,광주,8892
