date,day,Home,Away,place,crowds
2024-03-23,토,LG,한화,잠실,23750
2024-03-23,토,SSG,롯데,문학,23000
2024-03-23,토,NC,두산,창원,17891
2024-03-23,토,KT,삼성,수원,18700
2024-03-23,토,KIA,키움,광주,20500
2024-03-24,일,LG,한화,잠실,23750
2024-03-24,일,SSG,롯데,문학,23000
2024-03-24,일,NC,두산,창원,14555
2024-03-24,일,KT,삼성,수원,18700
2024-03-26,화,SSG,한화,문학,10541
2024-03-26,화,KIA,롯데,광주,7328
2024-03-26,화,KT,두산,수원,4378
2024-03-26,화,LG,삼성,잠실,14229
2024-03-26,화,NC,키움,창원,2839
2024-03-27,수,SSG,한화,문학,11005
2024-03-27,수,KIA,롯데,광주,8672
2024-03-27,수,KT,두산,수원,5271
2024-03-27,수,LG,삼성,잠실,18041
2024-03-27,수,NC,키움,창원,3681
2024-03-28,목,SSG,한화,문학,11755
2024-03-28,목,KT,두산,수원,4304
2024-03-28,목,LG,삼성,잠실,13420
2024-03-29,금,두산,KIA,잠실,23750
2024-03-29,금,한화,KT,한밭,12000
2024-03-29,금,키움,LG,고척,8465
2024-03-29,금,롯데,NC,사직,21554
2024-03-29,금,삼성,SSG,대구,21479
2024-03-30,토,두산,KIA,잠실,23750
2024-03-30,토,한화,KT,한밭,12000
2024-03-30,토,키움,LG,고척,13462
2024-03-30,토,롯데,NC,사직,22754
2024-03-30,토,삼성,SSG,대구,24000
2024-03-31,일,두산,KIA,잠실,23750
2024-03-31,일,한화,KT,한밭,12000
2024-03-31,일,키움,LG,고척,11822
2024-03-31,일,롯데,NC,사직,21578
2024-03-31,일,삼성,SSG,대구,22886
2024-04-02,화,KT,KIA,수원,9682
2024-04-02,화,한화,롯데,한밭,12000
2024-04-02,화,LG,NC,잠실,11845
2024-04-02,화,SSG,두산,문학,12379
2024-04-02,화,삼성,키움,대구,8541
2024-04-03,수,KT,KIA,수원,8050
2024-04-03,수,LG,NC,잠실,10239
2024-04-03,수,SSG,두산,문학,12128
2024-04-04,목,KT,KIA,수원,10722
2024-04-04,목,한화,롯데,한밭,12000
2024-04-04,목,LG,NC,잠실,11406
2024-04-04,목,SSG,두산,문학,14249
2024-04-04,목,삼성,키움,대구,8193
2024-04-05,금,키움,한화,고척,16000
2024-04-05,금,LG,KT,잠실,13818
2024-04-05,금,롯데,두산,사직,12289
2024-04-05,금,NC,SSG,창원,5452
2024-04-05,금,KIA,삼성,광주,14233
2024-04-06,토,키움,한화,고척,16000
2024-04-06,토,LG,KT,잠실,21824
2024-04-06,토,롯데,두산,사직,19208
2024-04-06,토,NC,SSG,창원,11064
2024-04-06,토,KIA,삼성,광주,20500
2024-04-07,일,키움,한화,고척,16000
2024-04-07,일,LG,KT,잠실,19249
2024-04-07,일,롯데,두산,사직,16755
2024-04-07,일,NC,SSG,창원,8861
2024-04-07,일,KIA,삼성,광주,20500
2024-04-09,화,두산,한화,잠실,23598
2024-04-09,화,NC,KT,창원,4918
2024-04-09,화,KIA,LG,광주,11817
2024-04-09,화,롯데,삼성,사직,15076
2024-04-09,화,SSG,키움,문학,9468
2024-04-10,수,두산,한화,잠실,23750
2024-04-10,수,NC,KT,창원,9895
2024-04-10,수,KIA,LG,광주,20500
2024-04-10,수,롯데,삼성,사직,22758
2024-04-10,수,SSG,키움,문학,20511
2024-04-11,목,두산,한화,잠실,22157
2024-04-11,목,NC,KT,창원,3311
2024-04-11,목,KIA,LG,광주,11475
2024-04-11,목,롯데,삼성,사직,11628
2024-04-11,목,SSG,키움,문학,7250
2024-04-12,금,한화,KIA,한밭,12000
2024-04-12,금,두산,LG,잠실,19916
2024-04-12,금,키움,롯데,고척,8838
2024-04-12,금,삼성,NC,대구,13104
2024-04-12,금,KT,SSG,수원,6912
