date,day,Home,Away,place,crowds
2025-05-07,수,한화,삼성,대전,17000
2025-05-09,금,키움,한화,고척,16000
2025-05-10,토,키움,한화,고척,16000
2025-05-10,토,SSG,KIA,문학,23000
2025-05-10,토,삼성,LG,대구,24000
2025-05-10,토,삼성,LG,대구,24000
2025-05-10,토,KT,롯데,수원,18700
2025-05-10,토,두산,NC,잠실,20206
2025-05-11,일,키움,한화,고척,16000
2025-05-11,일,SSG,KIA,문학,23000
2025-05-11,일,SSG,KIA,문학,23000
2025-05-11,일,삼성,LG,대구,24000
2025-05-11,일,KT,롯데,수원,18700
2025-05-11,일,KT,롯데,수원,14470
2025-05-11,일,두산,NC,잠실,19366
2025-05-11,일,두산,NC,잠실,9172
2025-05-13,화,삼성,KT,포항,10758
2025-05-13,화,KIA,롯데,광주,16824
2025-05-13,화,SSG,NC,문학,12746
2025-05-13,화,한화,두산,대전,17000
2025-05-13,화,LG,키움,잠실,18080
2025-05-14,수,삼성,KT,포항,12120
2025-05-14,수,KIA,롯데,광주,18641
2025-05-14,수,SSG,NC,문학,11409
2025-05-14,수,한화,두산,대전,17000
2025-05-14,수,LG,키움,잠실,18286
2025-05-15,목,삼성,KT,포항,12120
2025-05-15,목,KIA,롯데,광주,17452
2025-05-15,목,SSG,NC,문학,10081
2025-05-15,목,한화,두산,대전,17000
2025-05-15,목,LG,키움,잠실,18119
2025-05-17,토,LG,KT,잠실,22963
2025-05-17,토,LG,KT,잠실,17811
2025-05-17,토,KIA,두산,광주,16854
2025-05-17,토,KIA,두산,광주,20500
2025-05-17,토,한화,SSG,대전,17000
2025-05-17,토,한화,SSG,대전,17000
2025-05-17,토,롯데,삼성,사직,22669
2025-05-17,토,롯데,삼성,사직,22669
2025-05-17,토,NC,키움,울산,2297
2025-05-17,토,NC,키움,울산,5513
2025-05-18,일,LG,KT,잠실,23029
2025-05-18,일,KIA,두산,광주,20500
2025-05-18,일,한화,SSG,대전,17000
2025-05-18,일,롯데,삼성,사직,22669
2025-05-18,일,NC,키움,울산,6456
2025-05-20,화,NC,한화,울산,4497
2025-05-20,화,KT,KIA,수원,16064
2025-05-20,화,롯데,LG,사직,22669
2025-05-20,화,두산,SSG,잠실,17782
2025-05-20,화,키움,삼성,고척,13106
2025-05-21,수,NC,한화,울산,4183
2025-05-21,수,KT,KIA,수원,16302
2025-05-21,수,롯데,LG,사직,22669
2025-05-21,수,두산,SSG,잠실,14052
2025-05-21,수,키움,삼성,고척,13193
2025-05-22,목,NC,한화,울산,5005
2025-05-22,목,KT,KIA,수원,16705
2025-05-22,목,롯데,LG,사직,22669
2025-05-22,목,두산,SSG,잠실,14592
2025-05-22,목,키움,삼성,고척,12926
2025-05-23,금,삼성,KIA,대구,24000
2025-05-23,금,키움,KT,고척,4239
2025-05-23,금,SSG,LG,문학,20150
2025-05-23,금,한화,롯데,대전,17000
2025-05-23,금,두산,NC,잠실,17944
2025-05-24,토,삼성,KIA,대구,24000
2025-05-24,토,키움,KT,고척,7315
2025-05-24,토,SSG,LG,문학,23000
2025-05-24,토,한화,롯데,대전,17000
2025-05-24,토,두산,NC,잠실,22279
2025-05-25,일,삼성,KIA,대구,24000
2025-05-25,일,키움,KT,고척,6809
2025-05-25,일,SSG,LG,문학,23000
2025-05-25,일,한화,롯데,대전,17000
2025-05-25,일,두산,NC,잠실,20534
2025-05-27,화,LG,한화,잠실,23750
2025-05-27,화,삼성,롯데,대구,24000
2025-05-27,화,SSG,NC,문학,12124
2025-05-27,화,KT,두산,수원,8355
2025-05-27,화,KIA,키움,광주,15351
2025-05-28,수,LG,한화,잠실,23750
2025-05-28,수,SSG,NC,문학,12747
2025-05-28,수,KT,두산,수원,8822
2025-05-28,수,KIA,키움,광주,16517
2025-05-29,목,LG,한화,잠실,23750
2025-05-29,목,삼성,롯데,대구,24000
2025-05-29,목,SSG,NC,문학,13466
2025-05-29,목,KT,두산,수원,9238
2025-05-29,목,KIA,키움,광주,18127
2025-05-30,금,NC,한화,창원,12395
2025-05-30,금,KT,KIA,수원,18700
2025-05-30,금,키움,두산,고척,9182
2025-05-30,금,롯데,SSG,사직,22669
2025-05-30,금,LG,삼성,잠실,23750
2025-05-31,토,NC,한화,창원,16741
2025-05-31,토,KT,KIA,수원,18700
2025-05-31,토,키움,두산,고척,13456
2025-05-31,토,롯데,SSG,사직,22669
2025-05-31,토,LG,삼성,잠실,23750
2025-06-01,일,NC,한화,창원,14906
2025-06-01,일,KT,KIA,수원,18700
2025-06-01,일,키움,두산,고척,12350
2025-06-01,일,롯데,SSG,사직,22669
2025-06-01,일,LG,삼성,잠실,23750
2025-06-03,화,두산,KIA,잠실,23750
2025-06-03,화,한화,KT,대전,17000
2025-06-03,화,NC,LG,창원,13937
2025-06-03,화,SSG,삼성,문학,23000
2025-06-03,화,롯데,키움,사직,22669
2025-06-04,수,두산,KIA,잠실,23750
2025-06-04,수,한화,KT,대전,17000
2025-06-04,수,NC,LG,창원,5235
2025-06-04,수,SSG,삼성,문학,15706
2025-06-04,수,롯데,키움,사직,22669
2025-06-05,목,두산,KIA,잠실,23750
2025-06-05,목,한화,KT,대전,17000
2025-06-05,목,NC,LG,창원,8957
2025-06-05,목,SSG,삼성,문학,19273
2025-06-05,목,롯데,키움,사직,22669
2025-06-06,금,KIA,한화,광주,20500
2025-06-06,금,키움,LG,고척,16000
2025-06-06,금,두산,롯데,잠실,23750
2025-06-06,금,삼성,NC,대구,24000
2025-06-06,금,KT,SSG,수원,18700
2025-06-07,토,KIA,한화,광주,20500
2025-06-07,토,키움,LG,고척,16000
2025-06-07,토,두산,롯데,잠실,23750
2025-06-07,토,삼성,NC,대구,24000
2025-06-07,토,KT,SSG,수원,16755
2025-06-08,일,KIA,한화,광주,18586
2025-06-08,일,키움,LG,고척,16000
2025-06-08,일,두산,롯데,잠실,23750
2025-06-08,일,삼성,NC,대구,24000
2025-06-08,일,KT,SSG,수원,13026
2025-06-10,화,KT,롯데,수원,10809
2025-06-10,화,키움,NC,고척,4004
2025-06-10,화,한화,두산,대전,16691
